Temp.	Bulk Modulus
[C]	Mpa
0.01	1964.636542
10	2091.17524
20	2178.649237
30	2233.139795
40	2259.887006
50	2263.467632
60	2246.686138
70	2213.368747
80	2166.377816
90	2107.925801
100	2039.98368
110	1964.250638
120	1882.175795
130	1795.332136
140	1705.029838
150	1611.863314
160	1516.7602
170	1420.656343
180	1323.977228
190	1227.747084
200	1132.246377
210	1037.99045
220	945.1795841
230	855.4319932
240	767.4597084
250	682.5938567
260	600.9615385
270	523.0125523
280	448.6316734
290	378.5011355
300	312.6954346
310	251.5090543
320	195.3506544
330	144.5086705
340	99.20634921
350	59.55926147
360	26.68089648
