P (MPa)	T (°C)	V (m3/kg)	U (kJ/kg)	H (kJ/kg)	S [kJ/(kg K)]	Phase	Rho (kg/m^3)
30	0	0.0009857	0.2899	29.86	0.00027	liquid	1014.507457
30	5	0.000986	20.74	50.32	0.0745	liquid	1014.198783
30	10	0.0009866	41.19	70.79	0.1475	liquid	1013.581999
30	15	0.0009875	61.65	91.28	0.2192	liquid	1012.658228
25	0	0.000988	0.26	24.96	0.00041	liquid	1012.145749
25	5	0.0009883	20.8	45.51	0.07496	liquid	1011.838511
30	20	0.0009887	82.11	111.8	0.2897	liquid	1011.429149
25	10	0.0009888	41.34	66.06	0.1482	liquid	1011.326861
22	0	0.0009894	0.243	22.01	0.00046	liquid	1010.713564
22	5	0.0009896	20.84	42.61	0.07521	liquid	1010.509297
25	15	0.0009897	61.88	86.62	0.2202	liquid	1010.407194
30	25	0.00099	102.6	132.3	0.3591	liquid	1010.10101
22	10	0.0009902	41.43	63.21	0.1486	liquid	1009.896991
20	0	0.0009904	0.2228	20.03	0.00047	liquid	1009.693053
20	5	0.0009906	20.87	40.68	0.07536	liquid	1009.489198
19	0	0.0009908	0.214	19.04	0.00047	liquid	1009.285426
25	20	0.0009908	82.41	107.2	0.2909	liquid	1009.285426
19	5	0.000991	20.87	39.7	0.07543	liquid	1009.081736
22	15	0.000991	62.01	83.81	0.2207	liquid	1009.081736
20	10	0.0009911	41.49	61.31	0.1489	liquid	1008.979921
18	0	0.0009913	0.2064	18.05	0.00047	liquid	1008.776354
18	5	0.0009915	20.88	38.73	0.0755	liquid	1008.572869
19	10	0.0009915	41.51	60.35	0.149	liquid	1008.572869
30	30	0.0009915	123.1	152.8	0.4273	liquid	1008.572869
17	0	0.0009918	0.1996	17.06	0.00047	liquid	1008.267796
17	5	0.0009919	20.9	37.76	0.07556	liquid	1008.166146
20	15	0.0009919	62.1	81.94	0.2211	liquid	1008.166146
18	10	0.000992	41.54	59.4	0.1491	liquid	1008.064516
22	20	0.0009921	82.58	104.4	0.2916	liquid	1007.962907
25	25	0.0009921	102.9	127.8	0.3605	liquid	1007.962907
16	0	0.0009923	0.1835	16.06	0.00046	liquid	1007.75975
19	15	0.0009923	62.15	81	0.2213	liquid	1007.75975
16	5	0.0009924	20.9	36.78	0.07563	liquid	1007.658202
17	10	0.0009924	41.57	58.44	0.1493	liquid	1007.658202
15	0	0.0009928	0.1786	15.07	0.00045	liquid	1007.252216
18	15	0.0009928	62.19	80.06	0.2215	liquid	1007.252216
15	5	0.0009929	20.92	35.81	0.07569	liquid	1007.15077
16	10	0.0009929	41.59	57.48	0.1494	liquid	1007.15077
20	20	0.0009929	82.71	102.6	0.2921	liquid	1007.15077
17	15	0.0009932	62.24	79.12	0.2216	liquid	1006.846557
30	35	0.0009932	143.6	173.4	0.4945	liquid	1006.846557
14	0	0.0009933	0.1645	14.07	0.00043	liquid	1006.745193
15	10	0.0009933	41.63	56.53	0.1495	liquid	1006.745193
22	25	0.0009933	103.2	125	0.3613	liquid	1006.745193
14	5	0.0009934	20.92	34.83	0.07574	liquid	1006.643849
19	20	0.0009934	82.77	101.6	0.2923	liquid	1006.643849
16	15	0.0009936	62.28	78.18	0.2218	liquid	1006.441224
25	30	0.0009936	123.5	148.3	0.4289	liquid	1006.441224
13	0	0.0009937	0.1515	13.07	0.00041	liquid	1006.339942
13	5	0.0009938	20.93	33.85	0.0758	liquid	1006.23868
14	10	0.0009938	41.66	55.57	0.1496	liquid	1006.23868
18	20	0.0009938	82.83	100.7	0.2925	liquid	1006.23868
15	15	0.0009941	62.32	77.23	0.222	liquid	1005.935017
12	0	0.0009942	0.1394	12.07	0.00039	liquid	1005.833836
17	20	0.0009942	82.89	99.79	0.2928	liquid	1005.833836
20	25	0.0009942	103.3	123.2	0.3619	liquid	1005.833836
